"Building","Floor","Suite","Room","Space","Pct","Area","Stations","Category","Description","Room Use (S)","CPEC Code","Department","Program","System (S/C/R)","Cost Codes","PI/Manager","Occupants","Utilization","Home Page"
"Galbraith Hall","Basement","","(C)001","","100%","1178","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48545"
"Galbraith Hall","Basement","","(C)004","","100%","148","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48546"
"Galbraith Hall","Basement","","(C)007","","100%","362","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48547"
"Galbraith Hall","Basement","","(C)008","","100%","376","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48548"
"Galbraith Hall","Basement","","(C)009","","100%","60","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48549"
"Galbraith Hall","Basement","","(C)014","","100%","1089","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48550"
"Galbraith Hall","Basement","","(C)017","","100%","1225","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48551"
"Galbraith Hall","Basement","","(CE)019","","100%","44","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=75249"
"Galbraith Hall","Basement","","(CS)000","","100%","187","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=75250"
"Galbraith Hall","Basement","","(CS)029","","100%","248","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=75251"
"Galbraith Hall","Basement","","(CS)033","","100%","78","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=79003"
"Galbraith Hall","Basement","","(J)032","","100%","51","","J - Custodial Support","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48554"
"Galbraith Hall","Basement","","(M)002","","100%","601","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48555"
"Galbraith Hall","Basement","","(M)003","","100%","1837","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48556"
"Galbraith Hall","Basement","","(M)014","","100%","692","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48558"
"Galbraith Hall","Basement","","(M)027","","100%","668","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48559"
"Galbraith Hall","Basement","","(M)029","","100%","2234","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48560"
"Galbraith Hall","Basement","","(M)030","","100%","104","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48561"
"Galbraith Hall","Basement","","(MS)004","","100%","12","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=75252"
"Galbraith Hall","Basement","","(MS)032","","100%","34","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=75253"
"Galbraith Hall","Basement","","(TM)009","","100%","283","","T - Public Restrooms","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48563"
"Galbraith Hall","Basement","","(TW)010","","100%","301","","T - Public Restrooms","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=48564"
"Galbraith Hall","Basement","","005","005","100%","594","0","A - Assignable Area","","720 - Storage - General and Research (S)","7 - Non-Standard Programs","Revelle College Provost","5.6.01.00 - Administration - General","PROV REVELLE (N, CL:, RL:)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=44117"
"Galbraith Hall","Basement","","006","006","100%","867","0","A - Assignable Area","","275 - Open Laboratory Service (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=875"
"Galbraith Hall","Basement","","011","011","100%","110","0","A - Assignable Area","","275 - Open Laboratory Service (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=876"
"Galbraith Hall","Basement","","012","012","100%","72","8","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=877"
"Galbraith Hall","Basement","","013","013","100%","338","0","A - Assignable Area","","275 - Open Laboratory Service (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=878"
"Galbraith Hall","Basement","","015","015","100%","3038","60","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=879"
"Galbraith Hall","Basement","","016","016","100%","807","32","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=880"
"Galbraith Hall","Basement","","018","018","100%","548","40","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=44118"
"Galbraith Hall","Basement","","019","019","100%","493","40","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=44119"
"Galbraith Hall","Basement","","020","020","100%","333","18","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=882"
"Galbraith Hall","Basement","","021","021","100%","144","1","A - Assignable Area","","210 - Research Laboratory / Studio (S)","4 - Research / Scholarly Activity","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=883"
"Galbraith Hall","Basement","","022","022","100%","304","10","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=44123"
"Galbraith Hall","Basement","","023","023","100%","2690","60","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=885"
