"Building","Floor","Suite","Room","Space","Pct","Area","Stations","Category","Description","Room Use (S)","CPEC Code","Department","Program","System (S/C/R)","Cost Codes","PI/Manager","Occupants","Utilization","Home Page"
"Warren Lecture Hall","Basement","","(C)2003","","100%","193","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53817"
"Warren Lecture Hall","Basement","","(C)2006","","100%","99","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53818"
"Warren Lecture Hall","Basement","","(C)2008","","100%","80","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53819"
"Warren Lecture Hall","Basement","","(C)2010","","100%","215","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53820"
"Warren Lecture Hall","Basement","","(C)2011","","100%","638","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53821"
"Warren Lecture Hall","Basement","","(C)2017","","100%","55","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53822"
"Warren Lecture Hall","Basement","","(C)2020","","100%","35","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53823"
"Warren Lecture Hall","Basement","","(CE)2032","","100%","92","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70827"
"Warren Lecture Hall","Basement","","(CS)2031","","100%","428","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70828"
"Warren Lecture Hall","Basement","","(CS)2033","","100%","211","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70829"
"Warren Lecture Hall","Basement","","(M)2002","","100%","49","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53827"
"Warren Lecture Hall","Basement","","(M)2004","","100%","92","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53828"
"Warren Lecture Hall","Basement","","(M)2007","","100%","36","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53829"
"Warren Lecture Hall","Basement","","(M)2009","","100%","223","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53830"
"Warren Lecture Hall","Basement","","(M)2012","","100%","237","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53831"
"Warren Lecture Hall","Basement","","(M)2013","","100%","127","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53832"
"Warren Lecture Hall","Basement","","(M)2018","","100%","118","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53833"
"Warren Lecture Hall","Basement","","(M)2019","","100%","81","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53834"
"Warren Lecture Hall","Basement","","(M)2021","","100%","59","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53835"
"Warren Lecture Hall","Basement","","(MS)2800","","100%","10","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70830"
"Warren Lecture Hall","Basement","","2014","2014","100%","583","0","A - Assignable Area","","335 - Office Service (S)","3 - Office Facilities","Music","1.1.50.02 - Music","MUSIC (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=16792"
"Warren Lecture Hall","Basement","","2015","2015","100%","991","20","A - Assignable Area","","270 - Open Laboratory (N)","7 - Non-Standard Programs","Academic Computing and Media Services","5.4.01.00 - Computing Support - General","ACAD COMP SV (N, CL:, RL:)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=16793"
"Warren Lecture Hall","First Floor","","(C)2101","","100%","91","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53844"
"Warren Lecture Hall","First Floor","","(C)2103","","100%","99","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53845"
"Warren Lecture Hall","First Floor","","(C)2105","","100%","96","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53846"
"Warren Lecture Hall","First Floor","","(C)2107","","100%","90","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53847"
"Warren Lecture Hall","First Floor","","(C)2139","","100%","294","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53848"
"Warren Lecture Hall","First Floor","","(C)2145","","100%","598","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53849"
"Warren Lecture Hall","First Floor","","(C)2151","","100%","66","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53850"
"Warren Lecture Hall","First Floor","","(C)2153","","100%","63","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53851"
"Warren Lecture Hall","First Floor","","(C)2157","","100%","255","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53852"
"Warren Lecture Hall","First Floor","","(C)2160","","100%","753","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53853"
"Warren Lecture Hall","First Floor","","(C)2161","","100%","88","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53854"
"Warren Lecture Hall","First Floor","","(C)2162","","100%","110","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53855"
"Warren Lecture Hall","First Floor","","(C)2170","","100%","202","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53857"
"Warren Lecture Hall","First Floor","","(C)2171","","100%","237","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53858"
"Warren Lecture Hall","First Floor","","(C)2172","","100%","669","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53859"
"Warren Lecture Hall","First Floor","","(C)2173","","100%","815","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53860"
"Warren Lecture Hall","First Floor","","(C)2185","","100%","175","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53864"
"Warren Lecture Hall","First Floor","","(C)2186","","100%","333","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=53865"
"Warren Lecture Hall","First Floor","","(CE)2182","","100%","116","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70834"
"Warren Lecture Hall","First Floor","","(CE)2183","","100%","58","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70835"
"Warren Lecture Hall","First Floor","","(CS)2168","","100%","248","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70836"
"Warren Lecture Hall","First Floor","","(CS)2184","","100%","286","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=70837"
"Warren Lecture Hall","First Floor","","(CU)526-1","","100%","4071","","U - Covered Unenclosed","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=98140"
