"Building","Floor","Suite","Room","Space","Pct","Area","Stations","Category","Description","Room Use (S)","CPEC Code","Department","Program","System (S/C/R)","Cost Codes","PI/Manager","Occupants","Utilization","Home Page"
"Molli and Arthur Wagner Dance Building","First Floor","","(C)107","","100%","235","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=65502"
"Molli and Arthur Wagner Dance Building","First Floor","","(C)112","","100%","1685","","C - Public Circulation","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47916"
"Molli and Arthur Wagner Dance Building","First Floor","","(CU)193-1","","100%","240","","U - Covered Unenclosed","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=98732"
"Molli and Arthur Wagner Dance Building","First Floor","","(CU)193-1-0","","100%","160","","U - Covered Unenclosed","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=98735"
"Molli and Arthur Wagner Dance Building","First Floor","","(CU)193-1-2","","100%","177","","U - Covered Unenclosed","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=98733"
"Molli and Arthur Wagner Dance Building","First Floor","","(J)115","","100%","26","","J - Custodial Support","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47917"
"Molli and Arthur Wagner Dance Building","First Floor","","(M)122","","100%","69","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47918"
"Molli and Arthur Wagner Dance Building","First Floor","","(M)123","","100%","88","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47919"
"Molli and Arthur Wagner Dance Building","First Floor","","(M)130","","100%","9","","M - Mechanical Space","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47920"
"Molli and Arthur Wagner Dance Building","First Floor","","(T)106","","100%","55","","T - Public Restrooms","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=65503"
"Molli and Arthur Wagner Dance Building","First Floor","","(TM)125","","100%","348","","T - Public Restrooms","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47921"
"Molli and Arthur Wagner Dance Building","First Floor","","(TS)106","(TS)106","100%","55","0","A - Assignable Area","","335 - Office Service (S)","","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=98734"
"Molli and Arthur Wagner Dance Building","First Floor","","(TW)119","","100%","560","","T - Public Restrooms","","","","","","","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=47922"
"Molli and Arthur Wagner Dance Building","First Floor","","101","101","100%","3207","35","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=5904"
"Molli and Arthur Wagner Dance Building","First Floor","","102","102","100%","131","0","A - Assignable Area","","275 - Open Laboratory Service (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=5905"
"Molli and Arthur Wagner Dance Building","First Floor","","103","103","100%","110","0","A - Assignable Area","","275 - Open Laboratory Service (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=5906"
"Molli and Arthur Wagner Dance Building","First Floor","","104","104","100%","2404","30","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=5907"
"Molli and Arthur Wagner Dance Building","First Floor","","105","105","100%","203","0","A - Assignable Area","","310 - Academic Office - Enclosed (S)","","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=5908"
"Molli and Arthur Wagner Dance Building","First Floor","","108","108","100%","2591","30","A - Assignable Area","","270 - Open Laboratory (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=5910"
"Molli and Arthur Wagner Dance Building","First Floor","","115","115","100%","707","0","A - Assignable Area","","275 - Open Laboratory Service (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=5912"
"Molli and Arthur Wagner Dance Building","First Floor","","127","127","100%","290","0","A - Assignable Area","","275 - Open Laboratory Service (N)","2 - Class Laboratories","Theatre and Dance","1.1.50.01 - Dramatic and Film Arts","THEATRE (S, CL:, RL:E)","","","","","https://facilities.ucsd.edu/Buildings/Rooms/Home/Default.htm?Rkey=33050"
